instance_id,model,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,travel_time_per_edge,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,estimated_travel_time,stationary_time,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-timed-n3-mem-low-corr-low-seed-0,timed,0,3,low,0.35,5,12,2.4,2.0,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4.0, 3.0, 3.0]","[8.0, 8.0, 9.0]",solved,True,ENHSP default,60.0,0.660325,0,67,34.0,34.0,24.0,10.0,18,12,3,3,15,34.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-low-corr-low-seed-0.txt,
rover-timed-n3-mem-low-corr-medium-seed-0,timed,0,3,low,0.35,5,12,2.4,2.0,medium,3,0,True,"[5, 5, 2]","[4, 5, 5]","[2.0, 1.0, 1.0]","[6.0, 6.0, 7.0]",solved,True,ENHSP default,60.0,0.511524,0,61,28.0,28.0,24.0,4.0,18,12,3,3,14,28.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-low-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-low-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-low-corr-medium-seed-0.txt,
rover-timed-n3-mem-low-corr-high-seed-0,timed,0,3,low,0.35,5,12,2.4,2.0,high,1,2,False,"[5, 5, 2]","[4, 5, 5]","[1.0, -1.0, -1.0]","[5.0, 4.0, 5.0]",unsolvable,False,ENHSP default,60.0,0.482987,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-low-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-low-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-low-corr-high-seed-0.txt,
rover-timed-n3-mem-medium-corr-low-seed-0,timed,0,3,medium,0.6,8,12,1.5,2.0,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4.0, 3.0, 3.0]","[8.0, 8.0, 9.0]",solved,True,ENHSP default,60.0,0.520567,0,66,33.0,33.0,24.0,9.0,18,12,3,3,15,33.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-low-seed-0.txt,
rover-timed-n3-mem-medium-corr-medium-seed-0,timed,0,3,medium,0.6,8,12,1.5,2.0,medium,3,0,True,"[5, 5, 2]","[4, 5, 5]","[2.0, 1.0, 1.0]","[6.0, 6.0, 7.0]",solved,True,ENHSP default,60.0,0.488643,0,61,28.0,28.0,24.0,4.0,18,12,3,3,14,28.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-medium-seed-0.txt,
rover-timed-n3-mem-medium-corr-high-seed-0,timed,0,3,medium,0.6,8,12,1.5,2.0,high,1,2,False,"[5, 5, 2]","[4, 5, 5]","[1.0, -1.0, -1.0]","[5.0, 4.0, 5.0]",unsolvable,False,ENHSP default,60.0,0.476889,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-high-seed-0.txt,
rover-timed-n3-mem-high-corr-low-seed-0,timed,0,3,high,1.0,12,12,1.0,2.0,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4.0, 3.0, 3.0]","[8.0, 8.0, 9.0]",solved,True,ENHSP default,60.0,0.480072,0,53,24.0,24.0,20.0,4.0,16,10,3,3,13,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-low-seed-0.txt,
rover-timed-n3-mem-high-corr-medium-seed-0,timed,0,3,high,1.0,12,12,1.0,2.0,medium,3,0,True,"[5, 5, 2]","[4, 5, 5]","[2.0, 1.0, 1.0]","[6.0, 6.0, 7.0]",solved,True,ENHSP default,60.0,0.492503,0,52,23.0,23.0,20.0,3.0,16,10,3,3,12,23.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-medium-seed-0.txt,
rover-timed-n3-mem-high-corr-high-seed-0,timed,0,3,high,1.0,12,12,1.0,2.0,high,1,2,False,"[5, 5, 2]","[4, 5, 5]","[1.0, -1.0, -1.0]","[5.0, 4.0, 5.0]",unsolvable,False,ENHSP default,60.0,0.470322,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-high-seed-0.txt,
rover-timed-n5-mem-low-corr-low-seed-0,timed,0,5,low,0.35,8,22,2.75,2.0,low,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[4.0, 3.0, 3.0, 5.0, 3.0]","[9.0, 8.0, 9.0, 13.0, 13.0]",solved,True,ENHSP default,60.0,0.651386,0,132,65.0,65.0,52.0,13.0,36,26,5,5,30,65.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n5-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n5-mem-low-corr-low-seed-0.txt,
